sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,Communication_level,technical _skills,soft _skills,status
201,0,69,Others,60,Others,Commerce,65,Comm&Mgmt,No,87.55,Mkt&Fin,52.81,advance,     Design Thinking,time management,Placed
202,0,54.2,Central,63,Others,Science,58,Comm&Mgmt,No,79,Mkt&HR,58.44,basic,     Design Thinking,time management,Not Placed
203,0,70,Central,63,Central,Science,66,Sci&Tech,No,61.28,Mkt&HR,60.11,intermediate,     Design Thinking,time management,Placed
204,0,55.68,Others,61.33,Others,Commerce,56.87,Comm&Mgmt,No,66,Mkt&HR,58.3,advance,     Design Thinking,time management,Placed
205,1,74,Others,73,Others,Commerce,73,Comm&Mgmt,Yes,80,Mkt&Fin,67.69,basic,     Design Thinking,time management,Placed
206,0,61,Others,62,Others,Commerce,65,Comm&Mgmt,No,62,Mkt&Fin,56.81,intermediate,     other,time management,Placed
207,0,41,Central,42,Central,Science,60,Comm&Mgmt,No,97,Mkt&Fin,53.39,advance,     other,time management,Not Placed
208,0,83.33,Central,78,Others,Commerce,61,Comm&Mgmt,Yes,88.56,Mkt&Fin,71.55,basic,     other,time management,Placed
209,1,43,Central,60,Others,Science,65,Comm&Mgmt,No,92.66,Mkt&HR,62.92,intermediate,     other,time management,Not Placed
210,0,62,Central,72,Central,Commerce,65,Comm&Mgmt,No,67,Mkt&Fin,56.49,advance,     other,time management,Placed
211,0,80.6,Others,82,Others,Commerce,77.6,Comm&Mgmt,No,91,Mkt&Fin,74.49,basic,     Design Thinking,time management,Placed
212,0,58,Others,60,Others,Science,72,Sci&Tech,No,74,Mkt&Fin,53.62,intermediate,     Design Thinking,time management,Placed
213,0,67,Others,67,Others,Commerce,73,Comm&Mgmt,Yes,59,Mkt&Fin,69.72,advance,     Design Thinking,time management,Placed
214,1,74,Others,66,Others,Commerce,58,Comm&Mgmt,No,70,Mkt&HR,60.23,basic,     Design Thinking,time management,Placed
215,0,62,Central,58,Others,Science,53,Comm&Mgmt,No,89,Mkt&HR,60.22,intermediate,     Design Thinking,time management,Not Placed
